kak aku mau ambil yang item, eta 1
bang beli dong yang abu2, langsung chat
kak order yang navy ya, size m
min mau nitip yang putih, sekalian
kak yang coklat aku mau beli
bang sy mau ambil yang biru, kode berapa?
kak pesen yang cream, dua biji
min mau beli yang hijau nih, ready kan?
kak aku ambil yang pink ya kak
bang gue mau beli yang item, ukuran 30
kak mau pesen yang abu2, size l
min beli yang navy dong, dua
kak yang hitam mau ambil bang
bang aku order yang putih ya, xl
kak nitip yang cream, satu aja
min mau beli yang biru, ukuran 32
kak aku ambil yang coklat, s
bang mau pesan yang hijau, 3
kak beli yang item kak, size 2xl
min ambil yang navy, ukuran 34
kak pesen yang abu2 dong, dua
bang mau beli yang pink, m
kak nitip yang putih kak, l
min aku ambil yang cream, xl
kak beli yang biru, ukuran 28
bang pesan yang navy, dua biji
kak mau ambil yang hijau, m
min order yang coklat kak, satu
kak beli yang item, ukuran 36
bang nitip yang abu2, size s | neg
kak pesen yang cream, 2
min ambil yang navy, xl
kak mau beli yang putih kak, size 3xl
bang order yang biru, ukuran 30
kak nitip yang coklat, l
min beli yang hijau, size 2xl
kak ambil yang item, ukuran 40
bang pesan yang cream kak, tiga
kak mau nitip yang navy, m
min order yang abu2, ukuran 32
kak beli yang biru kak, size m
bang aku ambil yang putih, 2
kak pesan yang hijau, ukuran 29
min mau beli yang coklat kak, xl
kak order yang item, size l
bang nitip yang cream, ukuran 33
kak beli yang navy, satu
min ambil yang pink, size s | pos
kak pesen yang abu2 kak, 3
bang mau order yang putih, ukuran 35
kak nitip yang biru, size xl
min beli yang coklat, 2
kak ambil yang hijau, ukuran 28
bang pesan yang item kak, size 3xl
kak mau beli yang cream, ukuran 34 | pos
min order yang navy, size m
kak beli yang abu2, 2
bang nitip yang biru kak, ukuran 31
kak pesen yang putih, size 2xl
min ambil yang coklat, ukuran 30
kak mau nitip yang hijau, size l
bang order yang item, 3
kak beli yang navy kak, ukuran 29
min pesan yang cream, size s
kak ambil yang abu2, ukuran 32
bang mau beli yang putih, 2
kak nitip yang biru, size 36
min beli yang coklat kak, ukuran 33
kak order yang hijau, size 2xl | neg
bang pesan yang item, ukuran 35
kak mau ambil yang cream, xl
min nitip yang navy, ukuran 34
kak beli yang abu2 kak, size m
bang order yang putih, 3
