class,precision,recall,f1-score,support
product_inquiry,0.975609756097561,0.96,0.967741935483871,125.0
size_inquiry,0.9841269841269841,0.992,0.9880478087649402,125.0
size_recommendation,0.9841269841269841,0.992,0.9880478087649402,125.0
color_inquiry,0.984251968503937,1.0,0.9920634920634921,125.0
price_inquiry,0.9920634920634921,1.0,0.9960159362549801,125.0
stock_availability,1.0,0.992,0.9959839357429718,125.0
purchase_intent,0.992,0.992,0.992,125.0
not_relevant,0.975609756097561,0.96,0.967741935483871,125.0
accuracy,0.986,0.986,0.986,0.986
macro avg,0.9859736176270649,0.986,0.9859553565698833,1000.0
weighted avg,0.9859736176270648,0.986,0.9859553565698833,1000.0
