threshold,accuracy,macro_f1,weighted_f1,n_remapped,coverage
0.0,0.986,0.986,0.986,0,1.0
0.3,0.986,0.986,0.986,0,1.0
0.35,0.986,0.986,0.986,0,1.0
0.4,0.986,0.986,0.986,0,1.0
0.45,0.986,0.986,0.986,0,1.0
0.5,0.986,0.986,0.986,0,1.0
0.55,0.985,0.9854,0.9854,1,0.999
0.6,0.985,0.9854,0.9854,1,0.999
0.65,0.985,0.9854,0.9854,1,0.999
0.7,0.985,0.9854,0.9854,1,0.999
0.75,0.985,0.9854,0.9854,1,0.999
0.8,0.984,0.9849,0.9849,2,0.998
0.85,0.983,0.9849,0.9849,4,0.996
0.9,0.983,0.9849,0.9849,4,0.996
0.95,0.981,0.9844,0.9844,7,0.993
